"","SampleName","lake","lakename","campaign","location","duplicate","pCH4.meas","iso.CH4.meas","pCH4.head","iso.CH4.head","pCO2.meas","iso.CO2.meas","pCO2.head","iso.CO2.head","ID","ID.rep","Sample.type","temp.in","temp.sam","atm","vol.tot","vol.head","sal","pCO2.insitu","pCO2.insitu.error","pCH4.insitu","pCH4.insitu.error","conc.CO2.insitu","conc.CO2.insitu.error","conc.CH4.insitu","conc.CH4.insitu.error","sat.CO2.insitu","sat.CH4.insitu","iso.CO2.insitu","iso.CO2.insitu.error","iso.CH4.insitu","iso.CH4.insitu.error"
"1","BUF-1-1-A","BUF","BUFFALO","1","1","A",31.0877249356598,-54.7521721895979,1.95887933570632,-53.0343787127075,218.056315900722,-9.00445863860051,405.265617668351,-7.34401731882408,"BUF-1-1-A","BUF-1-1-A","gleon",28.4,25.9,101.325,0.14,0.035,0,151.038809772916,16.5719035113979,328.475584460906,28.0915003382789,4.70862622748381,0.516628141008375,0.439023720375119,0.0375456672363358,37.2690904898128,16768.546100491,-12.0195495243787,0.703938208316707,-54.5262863860874,0.528735158495822
"2","BUF-1-2-A","BUF","BUFFALO","1","2","A",22.711121169875,-53.8019516743125,1.95887933570632,-53.0343787127075,217.906651142812,-7.4043086174427,405.265617668351,-7.34401731882408,"BUF-1-2-A","BUF-1-2-A","gleon",28.6,25.7,101.325,0.14,0.035,0,152.761340047951,16.4669295332408,235.596411985888,20.5670058443168,4.73832112961533,0.510767973904587,0.313858407347378,0.0273990917085279,37.6941278480139,12027.1018072146,-8.54903244207329,0.678301256750553,-53.5370700315872,0.53786522408138
"3","BUF-1-3-A","BUF","BUFFALO","1","3","A",21.3300771956995,-53.5370891171554,1.95887933570632,-53.0343787127075,244.375094183524,-7.57316273047616,405.265617668351,-7.34401731882408,"BUF-1-3-A","BUF-1-3-A","gleon",28.8,24.2,101.325,0.14,0.035,0,204.366623328139,19.2322817588212,222.382310884616,19.3308949318703,6.30715828309512,0.593546261236616,0.295292733149347,0.0256687358627936,50.4278217589586,11352.5272757258,-8.8550891761665,0.58599923730792,-53.2526474650246,0.546254056833287
"4","BUF-1-4-A","BUF","BUFFALO","1","4","A",22.7241298396218,-52.3176035386321,1.95887933570632,-53.0343787127075,233.262713385544,-9.13954124754508,405.265617668351,-7.34401731882408,"BUF-1-4-A","BUF-1-4-A","gleon",28.5,25.1,101.325,0.14,0.035,0,179.482561089456,17.6275364967502,236.037761058697,20.5671030494077,5.58122696522854,0.548149532907419,0.314960125811868,0.0274439875000179,44.2876358774495,12049.6324993692,-11.9923898672723,0.645843315619032,-51.9268855016588,0.543729842578664
"5","BUF-1-5-A","BUF","BUFFALO","1","5","A",23.7799110415855,-50.838227817772,1.95887933570632,-53.0343787127075,245.778090122746,-8.94899548056683,405.265617668351,-7.34401731882408,"BUF-1-5-A","BUF-1-5-A","gleon",28.5,24.4,101.325,0.14,0.035,0,203.574409778144,19.057291630554,248.77595072084,21.4824448247165,6.33039209150781,0.592609495245947,0.331957498607683,0.0286653859721058,50.2323416798557,12699.9119438431,-11.4317092134954,0.602524437475801,-50.3313022761918,0.544375279599638
"6","BUF-2-1-A","BUF","BUFFALO","2","1","A",13.4612113234335,-51.1844514404482,2.00665979257376,-54.4203595017623,269.467028848769,-9.32303524655221,418.744314558465,-7.57448894548416,"BUF-2-1-A","BUF-2-1-A","gleon",23.6,22.6,101.325,0.14,0.035,0,219.060930687541,19.1466831687021,121.990527097376,11.3155888922382,7.74990832506152,0.677368797898928,0.177260953896433,0.0164423593262854,52.3137683477623,6079.2829730699,-11.7080559657129,0.56600759064331,-50.3513040813385,0.577143284619791
"7","BUF-2-2-A","BUF","BUFFALO","2","2","A",7.78041149328029,-49.9556024958078,2.00665979257376,-54.4203595017623,408.255942080394,-9.35292212532858,418.744314558465,-7.57448894548416,"BUF-2-2-A","BUF-2-2-A","gleon",23.4,22.4,101.325,0.14,0.035,0,415.680369944493,28.9991978629561,62.3400203022945,6.4462297381239,14.7868499022532,1.03157814775457,0.0909205057038824,0.00940157646455016,99.2683017995832,3106.65617226209,-11.133300236224,0.43508201036151,-48.2712182916459,0.673814294930245
"8","BUF-2-3-A","BUF","BUFFALO","2","3","A",7.38066187882955,-49.8236428963793,2.00665979257376,-54.4203595017623,400.153907158276,-9.7897158721409,418.744314558465,-7.57448894548416,"BUF-2-3-A","BUF-2-3-A","gleon",23.5,22.4,101.325,0.14,0.035,0,405.332226862975,28.3665117523614,58.273340114582,6.14798080941445,14.3791776416703,1.00630318669337,0.0848320325118335,0.00894998822584852,96.7970698994128,2903.99699691197,-11.7645524626631,0.441262383746742,-47.9991503533029,0.683599049618385
"9","BUF-2-4-A","BUF","BUFFALO","2","4","A",6.88429257210446,-49.7693895445099,2.00665979257376,-54.4203595017623,429.549491607673,-9.8657873896198,418.744314558465,-7.57448894548416,"BUF-2-4-A","BUF-2-4-A","gleon",23.2,22.3,101.325,0.14,0.035,0,444.582737711147,29.9884341294893,52.8139135632486,5.70285694303211,15.9023421023211,1.07266049306193,0.0773141558754091,0.00834839800502039,106.170453485422,2631.93161883754,-11.7839189264168,0.430270652633055,-47.7796597881824,0.710460893116323
"10","BUF-2-5-A","BUF","BUFFALO","2","5","A",5.36092098348259,-48.006619443005,2.00665979257376,-54.4203595017623,487.873924117214,-10.3472676023393,418.744314558465,-7.57448894548416,"BUF-2-5-A","BUF-2-5-A","gleon",22.5,22,101.325,0.14,0.035,0,520.845185542779,34.1465773463176,36.5358720260348,4.43543421883838,18.9955708120819,1.24534841825649,0.0541935233370597,0.00657906311028586,124.382628595679,1820.73075671554,-12.2783312059499,0.408955650781485,-44.408047573024,0.891692990919906
