"","SampleName","lake","lakename","campaign","location","duplicate","pCH4.meas","iso.CH4.meas","pCH4.head","iso.CH4.head","pCO2.meas","iso.CO2.meas","pCO2.head","iso.CO2.head","ID","ID.rep","Sample.type","temp.in","temp.sam","atm","vol.tot","vol.head","sal","pCO2.insitu","pCO2.insitu.error","pCH4.insitu","pCH4.insitu.error","conc.CO2.insitu","conc.CO2.insitu.error","conc.CH4.insitu","conc.CH4.insitu.error","sat.CO2.insitu","sat.CH4.insitu","iso.CO2.insitu","iso.CO2.insitu.error","iso.CH4.insitu","iso.CH4.insitu.error"
"11","ALX-2-5-A","ALX","ALEXANDRINA","2","5","A",27.2529347314819,-45.0849978372073,1.97314327525936,-50.2721429892266,219.919727320985,-2.89716966152855,401.891763397045,-6.68791934947143,"ALX-2-5-A","ALX-2-5-A","gleon",27,24.45,101.325,0.14,0.035,0,158.40306501328,16.3667665771116,280.716722790664,24.0531912784078,5.11845928118572,0.528857369537602,0.384057207505828,0.0329079129385449,39.4143596460791,14226.8798373887,0.0858725346651574,0.791143196356221,-44.3912325226841,0.53456215361363
"12","ALX-2-6-A","ALX","ALEXANDRINA","2","6","A",15.3791052991296,-39.4613622898497,1.97314327525936,-50.2721429892266,174.371239878135,-7.44380913435441,401.891763397045,-6.68791934947143,"ALX-2-6-A","ALX-2-6-A","gleon",29,24.45,101.325,0.14,0.035,0,95.1615446619645,13.6920996516789,154.878616004377,14.0044560289756,2.92216891368871,0.420449543010161,0.204992799572096,0.0185358877934633,23.6784013331347,7849.33450836301,-9.94259698272929,0.959471545086718,-37.7109734348812,0.573406448623633
"13","ALX-3-1-A","ALX","ALEXANDRINA","3","1","A",29.2904355909275,-39.6468269713627,1.82253550909306,-49.7576389999681,233.37116510513,-4.22131219606082,415.644636397948,-6.7406112395391,"ALX-3-1-A","ALX-3-1-A","gleon",21,21,101.325,0.14,0.035,0,167.214932167331,15.9818469073166,277.724629143036,23.6496459669383,6.36241526283504,0.608098483630941,0.424055540215371,0.0361104574245274,40.2302634328319,15238.3658786017,-3.04234453973108,0.637916304149448,-38.7167132582562,0.538568213385787
"14","ALX-3-2-A","ALX","ALEXANDRINA","3","2","A",44.6366998450567,-38.1865909344897,1.82253550909306,-49.7576389999681,206.695431492886,-4.14907111452267,415.644636397948,-6.7406112395391,"ALX-3-2-A","ALX-3-2-A","gleon",22,21,101.325,0.14,0.035,0,134.622135535793,14.5864774588517,440.342700356838,36.8097390172865,4.97902923857007,0.539484071221377,0.659419821578929,0.0551231382182013,32.3887580271584,24160.9942939309,-2.25532125297578,0.765350707462298,-37.4149381670481,0.518975838098686
"15","ALX-3-3-A","ALX","ALEXANDRINA","3","3","A",18.2428287971399,-44.9463115777358,1.82253550909306,-49.7576389999681,206.078152240881,-2.88127219587628,415.644636397948,-6.7406112395391,"ALX-3-3-A","ALX-3-3-A","gleon",21,21,101.325,0.14,0.035,0,130.015908824349,14.1150706287032,166.75663250079,14.5556705858137,4.94701754199572,0.537068906706176,0.254619383588045,0.0222249383229358,31.2805453117574,9149.70554311847,0.502846688950651,0.859182256085011,-44.1407095404795,0.549737848158095
"16","ALX-3-4-A","ALX","ALEXANDRINA","3","4","A",9.98416003783861,-49.434801462302,1.82253550909306,-49.7576389999681,209.266700940495,-3.56833004436396,415.644636397948,-6.7406112395391,"ALX-3-4-A","ALX-3-4-A","gleon",21,21,101.325,0.14,0.035,0,134.36174261328,14.1804813309805,83.8022022555967,8.08171446377148,5.11237358328974,0.539557739761504,0.127956919983616,0.0123399059110308,32.326110058266,4598.11080977506,-1.10046282376415,0.785875641190327,-49.0412990089018,0.602046092097051
"17","ALX-3-5-A","ALX","ALEXANDRINA","3","5","A",11.976694488901,-46.688632106495,1.82253550909306,-49.7576389999681,206.007427097772,-5.96828856692871,415.644636397948,-6.7406112395391,"ALX-3-5-A","ALX-3-5-A","gleon",22,21,101.325,0.14,0.035,0,133.657440544637,14.4983441545284,105.85285428226,9.86084344301596,4.94334978252703,0.536224441611647,0.158516242526249,0.0147667614758732,32.156661927106,5807.99955633978,-6.16539211587003,0.690175584511439,-45.8713344187032,0.581791305952448
"18","ALX-3-6-A","ALX","ALEXANDRINA","3","6","A",14.3827249278621,-32.4522963587931,1.82253550909306,-49.7576389999681,200.787754160739,-10.523823094935,415.644636397948,-6.7406112395391,"ALX-3-6-A","ALX-3-6-A","gleon",24,21,101.325,0.14,0.035,0,133.52980873226,15.0316917758618,135.477919272913,12.1992136664536,4.67266097234142,0.526009886303129,0.195417316027088,0.0175965028480915,32.1259549718851,7433.48585511681,-16.2651527866792,0.895369255400713,-29.8934126264924,0.602044778812803
"19","ERK-1-1-A","ERK","ERKEN","1","1","A",21.6902925679691,-48.3476140377216,1.99428961271219,-54.1162244001474,473.91118505165,-10.0790830581046,417.515475325092,-7.47197478345802,"ERK-1-1-A","ERK-1-1-A","gleon",21,17.6,101.325,0.14,0.035,0,544.43432147951,34.3753859860735,203.477941498592,17.9261762943125,20.7153583217446,1.30796022597299,0.310688859934195,0.0273713368379927,130.398596855744,10203.0286976156,-11.921069303892,0.406556234304483,-47.500272751755,0.553950050688929
"20","ERK-1-2-A","ERK","ERKEN","1","2","A",22.3977527446373,-48.3390740944559,1.99428961271219,-54.1162244001474,447.57846093886,-10.1322478339212,417.515475325092,-7.47197478345802,"ERK-1-2-A","ERK-1-2-A","gleon",21,17.8,101.325,0.14,0.035,0,502.682215688616,32.7841054610962,210.479708749694,18.3133022583111,19.1267188880746,1.24741307645505,0.321379802985554,0.0279624364113412,120.398463146117,10554.1194923763,-12.050047906354,0.415546547886629,-47.5085464572899,0.532238562356131
