"","SampleName","lake","lakename","campaign","location","duplicate","pCH4.meas","iso.CH4.meas","pCH4.head","iso.CH4.head","pCO2.meas","iso.CO2.meas","pCO2.head","iso.CO2.head","ID","ID.rep","Sample.type","temp.in","temp.sam","atm","vol.tot","vol.head","sal","pCO2.insitu","pCO2.insitu.error","pCH4.insitu","pCH4.insitu.error","conc.CO2.insitu","conc.CO2.insitu.error","conc.CH4.insitu","conc.CH4.insitu.error","sat.CO2.insitu","sat.CH4.insitu","iso.CO2.insitu","iso.CO2.insitu.error","iso.CH4.insitu","iso.CH4.insitu.error"
"11","BLU-3-1-A","BLU","BREITER LUZIN","3","1","A",12.1732400153842,-53.7682571091576,1.97394515846059,-51.827142759404,583.590797589851,-17.9615942134926,393.557806701872,-7.56684890769927,"BLU-3-1-A","BLU-3-1-A","gleon",20,20,101.325,0.14,0.035,0,650.831899118486,39.3958971006086,102.912336914484,9.63821012845536,25.4880274832138,1.54283112027268,0.160293660440654,0.0150122330121614,165.37136045468,5213.53576989656,-21.2837201215935,0.403979129235109,-53.7694973318103,0.589352474796416
"12","BLU-3-2-A","BLU","BREITER LUZIN","3","2","A",17.1331068316856,-51.0458353028041,1.97394515846059,-51.827142759404,407.546313758763,-8.40453009955568,393.557806701872,-7.56684890769927,"BLU-3-2-A","BLU-3-2-A","gleon",20,20,101.325,0.14,0.035,0,412.495994437108,27.2579198101578,151.998179297173,13.6540336185199,16.1542623481867,1.06748088131134,0.236748530548913,0.0212671783977754,104.812047280663,7700.2230100309,-9.78532617364363,0.415859486845056,-50.6255654007428,0.55584220249697
"13","BLU-3-3-A","BLU","BREITER LUZIN","3","3","A",16.378624550684,-50.1506688420881,1.97394515846059,-51.827142759404,398.387379233679,-8.58784641304767,393.557806701872,-7.56684890769927,"BLU-3-3-A","BLU-3-3-A","gleon",20,20,101.325,0.14,0.035,0,400.096270807893,27.0028513742566,144.531366235972,13.1084583156678,15.6686615393238,1.05749183296698,0.225118410844212,0.0204174040659298,101.661373245475,7321.95449384658,-10.0412113090988,0.423011633707029,-49.6169674106041,0.562294159127304
"14","BLU-3-4-A","BLU","BREITER LUZIN","3","4","A",9.60948019655517,-51.058966876803,1.97394515846059,-51.827142759404,381.646145907242,-8.97226569159951,393.557806701872,-7.56684890769927,"BLU-3-4-A","BLU-3-4-A","gleon",20,20,101.325,0.14,0.035,0,377.431334630927,25.8567530157132,77.5398188540176,7.61516744330146,14.7810521320925,1.01260806728096,0.120774066226324,0.0118611927486362,95.9023879602112,3928.16479838214,-10.5888048162074,0.436330513699969,-50.554988500272,0.61513006053985
"15","BLU-3-5-A","BLU","BREITER LUZIN","3","5","A",9.40424850744652,-51.1363576464752,1.97394515846059,-51.827142759404,395.310352650396,-8.82916142701733,393.557806701872,-7.56684890769927,"BLU-3-5-A","BLU-3-5-A","gleon",20,20,101.325,0.14,0.035,0,395.930471922885,27.0968532433456,75.5087219079442,7.41253410453223,15.5055195719211,1.06117315563426,0.117610480849126,0.0115455761707558,100.602875913172,3825.26949060888,-10.3711403048304,0.428950861843671,-50.6456985803407,0.611947767238884
"16","GFU-1-1-A","GFU","GROSSE FUCHSKUHLE","1","1","A",18.8697147295155,-43.0891968283402,1.98396413121831,-52.5313451847432,496.965234706701,-10.3238130368454,412.09511082281,-7.26158169822062,"GFU-1-1-A","GFU-1-1-A","gleon",20,20,101.325,0.14,0.035,0,526.995602539982,33.7353758770616,169.095566736609,15.0001118427795,20.6383221524096,1.3211524952537,0.263378990013812,0.0233637958906356,127.882032254097,8523.11612270789,-12.2691073335071,0.403438686883596,-41.7736058496302,0.561258619245473
"17","GFU-1-2-A","GFU","GROSSE FUCHSKUHLE","1","2","A",9.20897190875813,-33.8716354611577,1.98396413121831,-52.5313451847432,288.896814266699,-5.11422976766798,412.09511082281,-7.26158169822062,"GFU-1-2-A","GFU-1-2-A","gleon",20,20,101.325,0.14,0.035,0,245.304440499517,19.2134337814872,73.4870117163728,7.3023154818741,9.60666852634987,0.752440882096807,0.114461516043999,0.0113739024239116,59.5261710360333,3704.0494109763,-4.93578774112357,0.510883065401411,-29.0598360279885,0.773461727494924
"18","GFU-1-3-A","GFU","GROSSE FUCHSKUHLE","1","3","A",17.1437556624308,-34.411843352,1.98396413121831,-52.5313451847432,273.957557863231,-4.97703846777385,412.09511082281,-7.26158169822062,"GFU-1-3-A","GFU-1-3-A","gleon",20,20,101.325,0.14,0.035,0,225.079091129274,18.4868700293844,152.014431725595,13.5023236259209,8.8145987748448,0.723987026489876,0.236773844921522,0.0210308787395592,54.618238658515,7662.15625240394,-4.59501873598379,0.531670646157567,-31.9779701861353,0.585348257078835
"19","GFU-1-4-A","GFU","GROSSE FUCHSKUHLE","1","4","A",18.3802730556943,-35.2656901993627,1.98396413121831,-52.5313451847432,276.514413609067,-5.8256640228974,412.09511082281,-7.26158169822062,"GFU-1-4-A","GFU-1-4-A","gleon",20,20,101.325,0.14,0.035,0,228.540662398434,18.7956332278533,164.251755854884,14.393882150431,8.95016161951015,0.736078881389796,0.2558343923495,0.022419547811466,55.4582319460472,8278.96801511332,-6.00750821879416,0.51989511979489,-33.0803175131842,0.580582487752688
"20","GFU-1-5-A","GFU","GROSSE FUCHSKUHLE","1","5","A",11.7711340406946,-29.3680019711477,1.98396413121831,-52.5313451847432,240.269214678276,-6.08574861054532,412.09511082281,-7.26158169822062,"GFU-1-5-A","GFU-1-5-A","gleon",20,20,101.325,0.14,0.035,0,179.470495077457,16.2196220194608,98.8437181008626,9.38372521565301,7.0284645192651,0.635196542086044,0.153956482390611,0.0146158537303081,43.5507460205283,4982.13231507189,-6.22841316004241,0.579008262445851,-24.9017185410823,0.720835400913575
"21","GFU-2-1-A","GFU","GROSSE FUCHSKUHLE","2","1","A",20.2971188787732,-35.7770368574536,1.99331163564057,-52.202115292402,386.058828165773,-6.48247446820671,405.564397090066,-6.98633404648449,"GFU-2-1-A","GFU-2-1-A","gleon",20,20,101.325,0.14,0.035,0,379.156995308839,26.2543473505733,183.138860622282,16.1560747233622,14.8486328497016,1.02817874743326,0.285252470386228,0.0251642945190566,93.4887278146945,9187.66826760779,-7.38977210078128,0.432531085513522,-33.8565633062583,0.569416651924188
